album_id,album_type,total_tracks,name,release_date,market,artist_id,artist_name,extraction_time
4a6NzYL1YHRUgx9e3YZI6I,album,12,The Life of a Showgirl,2025-10-03,BR,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-10-15 00:19:26
4tFsJC9jQ0Qjj7HSExhAdm,album,26,The Life of a Showgirl (Track by Track Version),2025-10-02,BR,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-10-15 00:19:26
14JkAa6IiFaOh5s0nMyMU9,album,12,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,BR,7mW7Tv7NvywKKXqafZo0Lc,KPop Demon Hunters Cast,2025-10-15 00:19:26
14JkAa6IiFaOh5s0nMyMU9,album,12,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,BR,2yNNYQBChuox9A5Ka93BIn,HUNTR/X,2025-10-15 00:19:26
14JkAa6IiFaOh5s0nMyMU9,album,12,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,BR,0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,2025-10-15 00:19:26
1aqg30bNvLSWgShZgX4oop,album,12,Man’s Best Friend,2025-08-29,BR,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,2025-10-15 00:19:26
1W57oNaAkGObOQKBTxg4e9,album,12,The Life of a Showgirl,2025-10-03,BR,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-10-15 00:19:26
1kCHru7uhxBUdzkm4gzRQc,album,46,Hamilton (Original Broadway Cast Recording),2015-09-25,BR,4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,2025-10-15 00:19:26
5HyZy1hYpNTiCLRRy4PeNc,album,26,The Life of a Showgirl (Track by Track Version),2025-10-02,BR,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-10-15 00:19:26
0l8zYqoUeBYg47Gmevq9HZ,album,12,The Art of Loving,2025-09-26,BR,00x1fYSGhdqScXBRpSj3DW,Olivia Dean,2025-10-15 00:19:26
0Bv6OJO0L5gcf20DMww54a,single,3,Man I Need,2025-08-15,BR,00x1fYSGhdqScXBRpSj3DW,Olivia Dean,2025-10-15 00:19:26
6DEjYFkNZh67HP7R9PSZvv,album,15,reputation,2017-11-10,BR,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-10-15 00:19:26
2KrREEyHxkdFGYAd1DmMdS,album,44,SWAG II,2025-09-05,BR,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2025-10-15 00:19:26
5K79FLRUCSysQnVESLcTdb,album,17,DeBÍ TiRAR MáS FOToS,2025-01-05,BR,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2025-10-15 00:19:26
54vGSK50oe08qxz2xXECEC,album,100,10 Hours of Continuous Rain Sounds for Sleeping,2021-01-22,BR,0QUBaF6Rtta4TTmxYYfzux,White Noise Radiance,2025-10-15 00:19:26
54vGSK50oe08qxz2xXECEC,album,100,10 Hours of Continuous Rain Sounds for Sleeping,2021-01-22,BR,5nSGBmlgUdqWNExnOX8VtV,Rain Sounds,2025-10-15 00:19:26
6Rl6YoCarF2GHPSQmmFjuR,album,21,$ome $exy $ongs 4 U,2025-02-14,BR,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,2025-10-15 00:19:26
6Rl6YoCarF2GHPSQmmFjuR,album,21,$ome $exy $ongs 4 U,2025-02-14,BR,3TVXtAsR1Inumwj472S9r4,Drake,2025-10-15 00:19:26
7aJuG4TFXa2hmE4z1yxc3n,album,10,HIT ME HARD AND SOFT,2024-05-17,BR,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2025-10-15 00:19:26
1El3k8dU3sKyoGUeuyrolH,album,13,Breach,2025-09-12,BR,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,2025-10-15 00:19:26
7FaaJ1HcfebcoYr2CHCScx,single,1,Houma,2025-10-14,BR,2aVPTWc4WYc7b384eatevF,Didine Canon 16,2025-10-15 00:19:26
7FaaJ1HcfebcoYr2CHCScx,single,1,Houma,2025-10-14,BR,5ii3hUBZZob7b5oC7K483q,Adel Sweezy,2025-10-15 00:19:26
2g0AnWy6VsK23OY1e6koU2,single,1,El Mektoub,2025-10-14,BR,2aVPTWc4WYc7b384eatevF,Didine Canon 16,2025-10-15 00:19:26
2g0AnWy6VsK23OY1e6koU2,single,1,El Mektoub,2025-10-14,BR,5ii3hUBZZob7b5oC7K483q,Adel Sweezy,2025-10-15 00:19:26
3RQQmkQEvNCY4prGKE6oc5,album,23,Un Verano Sin Ti,2022-05-06,BR,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2025-10-15 00:19:26
4ryjxzYmf7uFr7QA87IKoz,album,18,Tutankamon,2025-07-24,BR,5YqI7p8zYsOpKJtjxYdOce,Victor Mendivil,2025-10-15 00:19:26
5IZ8sY5FjtL9hloXpv0XbD,album,37,I’m The Problem,2025-05-16,BR,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,2025-10-15 00:19:26
3OxfaVgvTxUTy7276t7SPU,album,22,Hurry Up Tomorrow,2025-01-31,BR,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2025-10-15 00:19:26
7Lv6VzSqIz1sAssK2JUskG,album,17,$AD BOYZ 4 LIFE II,2023-10-05,BR,7Gi6gjaWy3DxyilpF1a8Is,Junior H,2025-10-15 00:19:26
4FftCsAcXXD1nFO9RFUNFO,album,22,nadie sabe lo que va a pasar mañana,2023-10-13,BR,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2025-10-15 00:19:26
0yY0fT7zibMEffhBJD9Nab,album,20,Tropicoqueta,2025-06-20,BR,790FomKkXshlbRYZFtlgla,KAROL G,2025-10-15 00:19:26
4xMNn5AFdmBIYiXRbt5YH4,album,26,BORONDO,2025-05-15,BR,7a0XAaPaK2aDSqa8p3QnC7,Beéle,2025-10-15 00:19:26
3mH6qwIy9crq0I9YQbOuDf,album,17,Blonde,2016-08-20,BR,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,2025-10-15 00:19:26
5EYKrEDnKhhcNxGedaRQeK,album,13,eternal sunshine,2024-03-08,BR,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2025-10-15 00:19:26
168CdR21lfn0TTyw1Pkdcm,album,15,Fireworks & Rollerblades,2024-04-05,BR,22wbnEMDvgVIAGdFeek6ET,Benson Boone,2025-10-15 00:19:26
1NAmidJlEaVgA3MpcPFYGq,album,18,Lover,2019-08-23,BR,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-10-15 00:19:26
2fenSS68JI1h4Fo296JfGr,album,16,folklore,2020-07-24,BR,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-10-15 00:19:26
1jzv3jwZbt8lYfEtMjiD1R,album,10,DON'T TAP THE GLASS,2025-07-21,BR,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",2025-10-15 00:19:26
4yP0hdKOZPNshxUOjY0cZj,album,14,After Hours,2020-03-20,BR,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2025-10-15 00:19:26
7mvXPtV4jvA1hp5Wx2FAJA,album,10,I Barely Know Her,2025-08-22,BR,4G9NDjRyZFDlJKMRL8hx3S,sombr,2025-10-15 00:19:26
6s84u2TUpR3wdUv4NgKA2j,album,11,SOUR,2021-05-21,BR,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,2025-10-15 00:19:26
40GMAhriYJRO1rsY4YdrZb,album,20,Views,2016-05-06,BR,3TVXtAsR1Inumwj472S9r4,Drake,2025-10-15 00:19:26
5vD5M5VW62LL78Ko8x0CVZ,album,21,SWAG,2025-07-11,BR,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2025-10-15 00:19:26
3T4tUhGYeRNVUGevb0wThu,album,16,÷ (Deluxe),2017-03-03,BR,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2025-10-15 00:19:26
4E1XUBMTpLO7GpBzUo65Jp,album,10,Freudian,2017-08-25,BR,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,2025-10-15 00:19:26
